Area;Year;Population;Violent-crime-number;Violent-crime-number-rate;Murder-and-nonnegligent-manslaughter;Murder-and-nonnegligent-manslaughter-rate;Rape;Rape-rate;Robbery;Robbery-rate;Aggravated-assault;Aggravated-assault-rate;Property-crime;Property-crime-rate;Burglary;Burglary-rate;Larceny-theft;Larceny-theft-rate;Motor-vehicle-theft;Motor-vehicle-theft-rate;
Pennsylvania;2010;12702379;46514;366,2;657;5,2;3415;26,9;16362;128,8;26080;205,3;276023;2173,0;55171;434,3;204183;1607,4;16669;131,2;
Pennsylvania;2011;12743948;46189;362,4;639;5,0;3339;26,2;16165;126,8;26046;204,4;283442;2224,1;57966;454,9;208604;1636,9;16872;132,4;
Pennsylvania;2012;12763536;44503;348,7;685;5,4;3327;26,1;15673;122,8;24818;194,4;276496;2166,3;56859;445,5;204609;1603,1;15028;117,7;
Pennsylvania;2013;12781296;42825;335,1;611;4,8;2728;21,3;14739;115,3;23680;185,3;263176;2059,1;52000;406,8;197410;1544,5;13766;107,7;
Pennsylvania;2014;12787209;40164;314,1;614;4,8;2787;21,8;13534;105,8;22189;173,5;247016;1931,7;45720;357,5;188256;1472,2;13040;102,0;
Pennsylvania;2015;12802503;40339;315,1;658;5,1;3122;24,4;13003;101,6;22373;174,8;232085;1812,8;39664;309,8;180287;1408,2;12134;94,8;
Illinois;2009;12910409;64185;497,2;773;6,0;3901;30,2;22923;177,6;36588;283,4;353347;2736,9;77850;603,0;248821;1927,3;26676;206,6;
Illinois;2010;12830632;55835;435,2;706;5,5;3033;23,6;20054;156,3;32042;249,7;343989;2681,0;75399;587,6;239794;1868,9;28796;224,4;
Illinois;2011;12859752;54523;424,0;781;6,1;3030;23,6;20217;157,2;30495;237,1;344468;2678,7;77719;604,4;237362;1845,8;29387;228,5;
Illinois;2012;12875255;53403;414,8;744;5,8;3570;27,7;19471;151,2;29618;230,0;332013;2578,7;71101;552,2;235222;1826,9;25690;199,5;
Illinois;2013;12890552;51956;403,1;722;5,6;3895;30,2;17733;137,6;28161;218,5;296048;2296,6;59093;458,4;216059;1676,1;20896;162,1;
Illinois;2014;12880580;47663;370,0;685;5,3;3081;23,9;15299;118,8;27520;213,7;267385;2075,9;50008;388,2;199926;1552,2;17451;135,5;
Illinois;2015;12859995;49354;383,8;744;5,8;3549;27,6;14910;115,9;28879;224,6;255729;1988,6;46443;361,1;191634;1490,2;17652;137,3;
Indiana;2009;6423113;21455;334,0;312;4,9;1621;25,2;7347;114,4;12175;189,5;199907;3112,3;48880;761,0;137190;2135,9;13837;215,4;
Indiana;2010;6483802;20389;314,5;292;4,5;1761;27,2;6219;95,9;12117;186,9;197260;3042,4;47115;726,7;137027;2113,4;13118;202,3;
Indiana;2011;6516353;21619;331,8;306;4,7;1758;27,0;6977;107,1;12578;193,0;206016;3161,5;50571;776,1;140630;2158,1;14815;227,4;
Indiana;2012;6537334;22602;345,7;310;4,7;1667;25,5;6598;100,9;14027;214,6;198032;3029,2;47612;728,3;136759;2092,0;13661;209,0;
Indiana;2013;6570713;23627;359,6;357;5,4;1623;24,7;7114;108,3;13915;211,8;187472;2853,1;42754;650,7;130534;1986,6;14184;215,9;
Indiana;2014;6596855;24099;365,3;330;5,0;1615;24,5;6897;104,5;14686;222,6;174776;2649,4;36893;559,3;124022;1880,0;13861;210,1;
Indiana;2015;6619680;25653;387,5;373;5,6;1789;27,0;7111;107,4;15765;238,2;171847;2596,0;34410;519,8;123918;1872,0;13519;204,2;
Michigan;2009;9969727;49825;499,8;623;6,2;4524;45,4;12427;124,6;32251;323,5;284019;2848,8;76046;762,8;178628;1791,7;29345;294,3;
Michigan;2010;9883640;48460;490,3;567;5,7;4673;47,3;11493;116,3;31727;321,0;268201;2713,6;73868;747,4;166980;1689,5;27353;276,8;
Michigan;2011;9876801;43731;442,8;617;6,2;4344;44,0;10263;103,9;28507;288,6;251329;2544,6;69755;706,3;156666;1586,2;24908;252,2;
Michigan;2012;9883360;44922;454,5;689;7,0;4589;46,4;10434;105,6;29210;295,5;250101;2530,5;65665;664,4;159321;1612,0;25115;254,1;
Michigan;2013;9898193;44757;452,2;625;6,3;4506;45,5;10093;102,0;27254;275,3;230135;2325,0;56256;568,3;149794;1513,3;24085;243,3;
Michigan;2014;9909877;42348;427,3;535;5,4;4049;40,9;8021;80,9;27519;277,7;202547;2043,9;44184;445,9;137206;1384,5;21157;213,5;
Michigan;2015;9922576;41231;415,5;571;5,8;4163;42,0;7796;78,6;26414;266,2;187101;1885,6;40041;403,5;131296;1323,2;15764;158,9;
Ohio;2009;11542645;38305;331,9;527;4,6;4119;35,7;17670;153,1;15989;138,5;376446;3261,3;104009;901,1;249777;2163,9;22660;196,3;
Ohio;2010;11536504;36366;315,2;476;4,1;3699;32,1;16479;142,8;15712;136,2;374381;3245,2;106521;923,3;246742;2138,8;21118;183,1;
Ohio;2011;11541007;35218;305,2;500;4,3;3679;31,9;15991;138,6;15048;130,4;380572;3297,6;112901;978,3;246744;2138,0;20927;181,3;
Ohio;2012;11544225;34595;299,7;495;4,3;3658;31,7;15235;132,0;15207;131,7;359883;3117,4;103421;895,9;236950;2052,5;19512;169,0;
Ohio;2013;11572005;33722;291,4;478;4,1;3594;31,1;14483;125,2;14370;124,2;338414;2924,4;91090;787,2;227799;1968,5;19525;168,7;
