Area;Year;Population;Violent-crime-number;Violent-crime-number-rate;Murder-and-nonnegligent-manslaughter;Murder-and-nonnegligent-manslaughter-rate;Rape;Rape-rate;Robbery;Robbery-rate;Aggravated-assault;Aggravated-assault-rate;Property-crime;Property-crime-rate;Burglary;Burglary-rate;Larceny-theft;Larceny-theft-rate;Motor-vehicle-theft;Motor-vehicle-theft-rate;
Georgia;2013;9994759;37519;375,4;563;5,6;2022;20,2;12704;127,1;21361;213,7;339808;3399,9;83459;835,0;229190;2293,1;27159;271,7;
Georgia;2014;10097343;38097;377,3;580;5,7;2159;21,4;12417;123,0;22052;218,4;331316;3281,2;76428;756,9;228034;2258,4;26854;266,0;
Georgia;2015;10214860;38643;378,3;615;6,0;2296;22,5;12247;119,9;22557;220,8;308723;3022,3;66374;649,8;215867;2113,3;26482;259,2;
Maryland;2009;5699478;33625;590,0;440;7,7;1156;20,3;12007;210,7;20022;351,3;182295;3198,5;36905;647,5;125771;2206,7;19619;344,2;
Maryland;2010;5773552;31620;547,7;430;7,4;1227;21,3;11054;191,5;18909;327,5;173051;2997,3;36542;632,9;118458;2051,7;18051;312,6;
Maryland;2011;5839572;28817;493,5;399;6,8;1200;20,5;10342;177,1;16876;289,0;166846;2857,2;35823;613,5;114951;1968,5;16072;275,2;
Maryland;2012;5884563;28055;476,8;369;6,3;1235;21,0;10141;172,3;16310;277,2;162031;2753,5;33732;573,2;113274;1924,9;15025;255,3;
Maryland;2013;5938737;28235;475,4;384;6,5;1179;19,9;10048;169,2;16124;271,5;157918;2659,1;31950;538,0;112551;1895,2;13417;225,9;
Maryland;2014;5976407;26661;446,1;365;6,1;1144;19,1;9544;159,7;15133;253,2;149859;2507,5;28012;468,7;108745;1819,6;13102;219,2;
Maryland;2015;6006401;27462;457,2;516;8,6;1184;19,7;9863;164,2;15417;256,7;139048;2315,0;25678;427,5;100219;1668,5;13151;218,9;
North Carolina;2009;9380884;37946;404,5;489;5,2;2306;24,6;11825;126,1;23326;248,7;343707;3663,9;107830;1149,5;215923;2301,7;19954;212,7;
North Carolina;2010;9535483;34653;363,4;476;5,0;2013;21,1;9610;100,8;22554;236,5;328719;3447,3;102690;1076,9;207719;2178,4;18310;192,0;
North Carolina;2011;9651103;33421;346,3;498;5,2;1959;20,3;9448;97,9;21516;222,9;337806;3500,2;105534;1093,5;215453;2232,4;16819;174,3;
North Carolina;2012;9752073;34464;353,4;479;4,9;1984;20,3;9392;96,3;22609;231,8;328594;3369,5;99323;1018,5;213151;2185,7;16120;165,3;
North Carolina;2013;9848917;33587;341,0;463;4,7;1790;18,2;9275;94,2;21325;216,5;305631;3103,2;90182;915,7;201043;2041,3;14406;146,3;
North Carolina;2014;9943964;32767;329,5;510;5,1;1740;17,5;8416;84,6;21421;215,4;285697;2873,1;79373;798,2;192694;1937,8;13630;137,1;
North Carolina;2015;10042802;34852;347,0;517;5,1;1939;19,3;8825;87,9;22826;227,3;276183;2750,1;74841;745,2;187907;1871,1;13435;133,8;
South Carolina;2009;4561242;30799;675,2;305;6,7;1663;36,5;5753;126,1;23078;506,0;178310;3909,2;45443;996,3;119250;2614,4;13617;298,5;
South Carolina;2010;4625364;27648;597,7;280;6,1;1466;31,7;4982;107,7;20920;452,3;180407;3900,4;46156;997,9;121054;2617,2;13197;285,3;
South Carolina;2011;4673348;27894;596,9;320;6,8;1678;35,9;4631;99,1;21265;455,0;183243;3921,0;47351;1013,2;122255;2616,0;13637;291,8;
South Carolina;2012;4723723;26397;558,8;324;6,9;1679;35,5;4489;95,0;19905;421,4;180550;3822,2;45086;954,5;122263;2588,3;13201;279,5;
South Carolina;2013;4771929;24263;508,5;305;6,4;1739;36,4;3965;83,1;17760;372,2;173261;3630,8;40930;857,7;119730;2509,0;12601;264,1;
South Carolina;2014;4832482;24052;497,7;311;6,4;1480;30,6;3997;82,7;17676;365,8;167217;3460,3;36721;759,9;117594;2433,4;12902;267,0;
South Carolina;2015;4896146;24700;504,5;399;8,1;1707;34,9;3931;80,3;18073;369,1;161245;3293,3;34551;705,7;113724;2322,7;12970;264,9;
Virginia;2009;7882590;18195;230,8;370;4,7;1572;19,9;6342;80,5;9911;125,7;194020;2461,4;31956;405,4;150374;1907,7;11690;148,3;
Virginia;2010;8001024;17087;213,6;369;4,6;1532;19,1;5657;70,7;9529;119,1;186196;2327,2;30629;382,8;145019;1812,5;10548;131,8;
Virginia;2011;8104384;16014;197,6;304;3,8;1591;19,6;5425;66,9;8694;107,3;182902;2256,8;30656;378,3;142476;1758,0;9770;120,6;
Virginia;2012;8185867;15564;190,1;314;3,8;1452;17,7;4706;57,5;9092;111,1;176985;2162,1;29511;360,5;138398;1690,7;9076;110,9;
Virginia;2013;8270345;16355;197,8;320;3,9;1476;17,8;4574;55,3;9111;110,2;171558;2074,4;26717;323,0;136215;1647,0;8626;104,3;
Virginia;2014;8326289;16340;196,2;338;4,1;1432;17,2;4292;51,5;9400;112,9;160720;1930,3;23122;277,7;129933;1560,5;7665;92,1;
Virginia;2015;8382993;16399;195,6;383;4,6;1493;17,8;4441;53,0;9235;110,2;156470;1866,5;21340;254,6;127019;1515,2;8111;96,8;
West Virginia;2009;1819777;5554;305,2;84;4,6;470;25,8;914;50,2;4086;224,5;46215;2539,6;12005;659,7;31453;1728,4;2757;151,5;
West Virginia;2010;1852994;5830;314,6;62;3,3;354;19,1;828;44,7;4586;247,5;41500;2239,6;10756;580,5;28383;1531,7;2361;127,4;
West Virginia;2011;1854908;5497;296,3;87;4,7;372;20,1;802;43,2;4236;228,4;39009;2103,0;10245;552,3;26656;1437,1;2108;113,6;
West Virginia;2012;1855413;5869;316,3;72;3,9;421;22,7;838;45,2;4538;244,6;43878;2364,9;11291;608,5;30378;1637,3;2209;119,1;
West Virginia;2013;1853595;5657;305,2;62;3,3;367;19,8;653;35,2;4242;228,9;39929;2154,1;9908;534,5;28055;1513,5;1966;106,1;
West Virginia;2014;1850326;5588;302,0;74;4,0;285;15,4;651;35,2;4358;235,5;37648;2034,7;8973;484,9;26779;1447,3;1896;102,5;
West Virginia;2015;1844128;6231;337,9;70;3,8;420;22,8;760;41,2;4729;256,4;37251;2020,0;9170;497,3;25842;1401,3;2239;121,4;
Alabama;2009;4708708;21194;450,1;322;6,8;1504;31,9;6265;133,1;13103;278,3;178007;3780,4;48844;1037,3;118072;2507,5;11091;235,5;
Alabama;2010;4779736;18056;377,8;273;5,7;1349;28,2;4761;99,6;11673;244,2;168092;3516,8;42034;879,4;115458;2415,6;10600;221,8;
Alabama;2011;4803689;20166;419,8;299;6,2;1370;28,5;4906;102,1;13591;282,9;173192;3605,4;51119;1064,2;111411;2319,3;10662;222,0;
Alabama;2012;4822023;21693;449,9;342;7,1;1296;26,9;5020;104,1;15035;311,8;168878;3502,2;47481;984,7;111523;2312,8;9874;204,8;
Alabama;2013;4833996;20834;431,0;346;7,2;1449;30,0;4645;96,1;13788;285,2;161835;3347,9;42410;877,3;108862;2252,0;10563;218,5;
Alabama;2014;4849377;20727;427,4;276;5,7;1436;29,6;4701;96,9;13745;283,4;154094;3177,6;39715;819,0;104238;2149,5;10141;209,1;
Alabama;2015;4858979;22952;472,4;348;7,2;1456;30,0;4611;94,9;15954;328,3;144746;2978,9;35255;725,6;99156;2040,7;10335;212,7;
Kentucky;2009;4314113;11000;255,0;184;4,3;1531;35,5;3642;84,4;5643;130,8;108914;2524,6;29880;692,6;72938;1690,7;6096;141,3;
Kentucky;2010;4339367;10528;242,6;187;4,3;1381;31,8;3748;86,4;5212;120,1;110709;2551,3;30311;698,5;74189;1709,7;6209;143,1;
Kentucky;2011;4366814;10465;239,6;151;3,5;1499;34,3;3705;84,8;5110;117,0;119037;2725,9;32750;750,0;79586;1822,5;6701;153,5;
Kentucky;2012;4380415;9752;222,6;195;4,5;1272;29,0;3535;80,7;4750;108,4;111826;2552,9;29587;675,4;75571;1725,2;6668;152,2;
Kentucky;2013;4399583;9280;210,9;172;3,9;951;21,6;3247;73,8;4215;95,8;104448;2374,0;26331;598,5;72048;1637,6;6069;137,9;
Kentucky;2014;4413457;9340;211,6;160;3,6;883;20,0;3336;75,6;4404;99,8;99166;2246,9;23244;526,7;69604;1577,1;6318;143,2;
Kentucky;2015;4425092;9676;218,7;209;4,7;997;22,5;3307;74,7;4668;105,5;96362;2177,6;22260;503,0;66320;1498,7;7782;175,9;
Mississippi;2009;2951996;8451;286,3;194;6,6;991;33,6;2969;100,6;4297;145,6;87327;2958,2;29559;1001,3;52329;1772,7;5439;184,2;
Mississippi;2010;2967297;8003;269,7;208;7,0;927;31,2;2779;93,7;4089;137,8;88574;2985,0;30444;1026,0;52770;1778,4;5360;180,6;
Mississippi;2011;2977457;8009;269,0;232;7,8;863;29,0;2496;83,8;4418;148,4;89809;3016,3;30722;1031,8;54179;1819,6;4908;164,8;
Mississippi;2012;2984926;7786;260,8;220;7,4;822;27,5;2284;76,5;4460;149,4;83906;2811,0;28076;940,6;51508;1725,6;4322;144,8;
Mississippi;2013;2992206;8303;277,5;217;7,3;726;24,3;2413;80,6;4649;155,4;81548;2725,3;24969;834,5;52192;1744,3;4387;146,6;
Mississippi;2014;2994079;8338;278,5;258;8,6;764;25,5;2430;81,2;4592;153,4;87462;2921,2;24352;813,3;58591;1956,9;4519;150,9;
Mississippi;2015;2992333;8254;275,8;259;8,7;862;28,8;2294;76,7;4498;150,3;84790;2833,6;24799;828,8;55748;1863,0;4243;141,8;
Tennessee;2009;6296254;41933;666,0;468;7,4;2019;32,1;9653;153,3;29793;473,2;237157;3766,6;63832;1013,8;158309;2514,3;15016;238,5;
Tennessee;2010;6346105;38921;613,3;357;5,6;2138;33,7;8366;131,8;28060;442,2;232132;3657,9;64235;1012,2;153062;2411,9;14835;233,8;
Tennessee;2011;6399787;38895;607,8;380;5,9;2095;32,7;8082;126,3;28338;442,8;230900;3607,9;62830;981,8;153928;2405,2;14142;221,0;
Tennessee;2012;6456243;41550;643,6;388;6,0;2032;31,5;8169;126,5;30961;479,6;217664;3371,4;56181;870,2;148503;2300,1;12980;201,0;
Tennessee;2013;6497269;38063;585,8;335;5,2;1904;29,3;7333;112,9;27895;429,3;207683;3196,5;51334;790,1;144443;2223,1;11906;183,2;
Tennessee;2014;6549352;39848;608,4;371;5,7;1861;28,4;7265;110,9;29681;453,2;200447;3060,6;46642;712,2;141206;2156,0;12599;192,4;
Tennessee;2015;6600299;40400;612,1;406;6,2;1966;29,8;7474;113,2;29844;452,2;193796;2936,2;43247;655,2;137679;2086,0;12870;195,0;
Arkansas;2009;2889450;14905;515,8;179;6,2;1378;47,7;2576;89,2;10772;372,8;109078;3775,0;34753;1202,8;68228;2361,3;6097;211,0;
Arkansas;2010;2915918;14735;505,3;138;4,7;1312;45,0;2372;81,3;10913;374,3;103775;3558,9;32511;1114,9;65720;2253,8;5544;190,1;
Arkansas;2011;2938582;14173;482,3;160;5,4;1230;41,9;2357;80,2;10426;354,8;110430;3757,9;34016;1157,6;70645;2404,1;5769;196,3;
Arkansas;2012;2949131;13835;469,1;173;5,9;1247;42,3;2320;78,7;10095;342,3;107941;3660,1;31890;1081,3;70327;2384,7;5724;194,1;
Arkansas;2013;2958765;13705;463,2;158;5,3;1135;38,4;2261;76,4;9796;331,1;106477;3598,7;30369;1026,4;70430;2380,4;5678;191,9;
Arkansas;2014;2966369;14243;480,1;165;5,6;1182;39,8;2050;69,1;10265;346,0;99018;3338,0;24790;835,7;68627;2313,5;5601;188,8;
Arkansas;2015;2978204;15526;521,3;181;6,1;1300;43,7;2098;70,4;11316;380,0;96836;3251,5;22640;760,2;68424;2297,5;5772;193,8;
Louisiana;2009;4492076;28878;642,9;529;11,8;1351;30,1;6150;136,9;20848;464,1;172619;3842,7;46928;1044,7;114102;2540,1;11589;258,0;
Louisiana;2010;4533372;24886;549,0;510;11,2;1233;27,2;5211;114,9;17932;395,6;165357;3647,5;45435;1002,2;110029;2427,1;9893;218,2;
Louisiana;2011;4574766;25373;554,6;506;11,1;1262;27,6;5235;114,4;18370;401,6;168529;3683,9;46242;1010,8;113174;2473,9;9113;199,2;
Louisiana;2012;4601893;22868;496,9;495;10,8;1158;25,2;5475;119,0;15740;342,0;162936;3540,6;42140;915,7;112915;2453,7;7881;171,3;
Louisiana;2013;4629284;24127;521,2;494;10,7;1248;27,0;5539;119,7;16331;352,8;165679;3578,9;41214;890,3;115300;2490,7;9165;198,0;
Louisiana;2014;4649676;23934;514,7;477;10,3;992;21,3;5695;122,5;16387;352,4;160824;3458,8;38337;824,5;112596;2421,6;9891;212,7;
Louisiana;2015;4670724;25208;539,7;481;10,3;1260;27,0;5550;118,8;17454;373,7;156629;3353,4;35453;759,0;111435;2385,8;9741;208,6;
Oklahoma;2009;3687050;18560;503,4;234;6,3;1535;41,6;3358;91,1;13433;364,3;132350;3589,6;38071;1032,6;83813;2273,2;10466;283,9;
Oklahoma;2010;3751351;17987;479,5;195;5,2;1450;38,7;3337;89,0;13005;346,7;128126;3415,5;37476;999,0;80460;2144,8;10190;271,6;
Oklahoma;2011;3784163;17311;457,5;212;5,6;1410;37,3;3288;86,9;12401;327,7;127618;3372,4;36462;963,5;80064;2115,8;11092;293,1;
Oklahoma;2012;3814820;17902;469,3;216;5,7;1588;41,6;3231;84,7;12867;337,3;129743;3401,0;35731;936,6;82448;2161,3;11564;303,1;
Oklahoma;2013;3853118;17187;446,1;198;5,1;1715;44,5;3023;78,5;11652;302,4;126418;3280,9;33512;869,7;81624;2118,4;11282;292,8;
Oklahoma;2014;3878051;15744;406,0;175;4,5;1277;32,9;3048;78,6;10744;277,0;115982;2990,7;29508;760,9;75891;1956,9;10583;272,9;
Oklahoma;2015;3911338;16506;422,0;234;6,0;1352;34,6;3005;76,8;11418;291,9;112878;2885,9;28406;726,2;74022;1892,5;10450;267,2;
Texas;2009;24782302;121684;491,0;1330;5,4;8311;33,5;38022;153,4;74021;298,7;995082;4015,3;240058;968,7;678455;2737,7;76569;309,0;
Texas;2010;25145561;113231;450,3;1249;5,0;7622;30,3;32843;130,6;71517;284,4;951246;3783,0;228597;909,1;654626;2603,3;68023;270,5;
Texas;2011;25631778;104734;408,6;1130;4,4;7486;29,2;28620;111,7;67498;263,3;892810;3483,2;215755;841,7;613131;2392,1;63924;249,4;
Texas;2012;26059203;106476;408,6;1144;4,4;7711;29,6;30382;116,6;67239;258,0;876059;3361,8;204810;785,9;606253;2326,4;64996;249,4;
Texas;2013;3853118;17187;446,1;198;5,1;1715;44,5;3023;78,5;11652;302,4;126418;3280,9;33512;869,7;81624;2118,4;11282;292,8;
Texas;2014;3878051;15744;406,0;175;4,5;1277;32,9;3048;78,6;10744;277,0;115982;2990,7;29508;760,9;75891;1956,9;10583;272,9;
Texas;2015;27469114;113227;412,2;1316;4,8;8925;32,5;31934;116,3;67727;246,6;777739;2831,3;153054;557,2;557200;2028,5;67485;245,7;
Arizona;2009;6595778;28128;426,5;380;5,8;2279;34,6;8199;124,3;17270;261,8;236721;3589,0;54308;823,4;155976;2364,8;26437;400,8;
Arizona;2010;6392017;26085;408,1;409;6,4;2165;33,9;6937;108,5;16574;259,3;225893;3534,0;50771;794,3;153614;2403,2;21508;336,5;
Arizona;2011;6467315;26789;414,2;397;6,1;2499;38,6;7145;110,5;16748;259,0;229896;3554,7;54695;845,7;155400;2402,9;19801;306,2;
Arizona;2012;6553255;28108;428,9;358;5,5;2277;34,7;7386;112,7;18087;276,0;231930;3539,2;52934;807,8;159838;2439,1;19158;292,3;
Arizona;2013;6634997;27576;415,6;355;5,4;2344;35,3;6656;100,3;17391;262,1;223294;3365,4;48292;727,8;158036;2381,9;16966;255,7;
Arizona;2014;6731484;26916;399,9;319;4,7;2464;36,6;6249;92,8;16970;252,1;215240;3197,5;43562;647,1;154091;2289,1;17587;261,3;
Arizona;2015;6828065;28012;410,2;309;4,5;2294;33,6;6360;93,1;18235;267,1;207107;3033,2;37957;555,9;152365;2231,5;16785;245,8;
Colorado;2009;5024748;17022;338,8;159;3,2;2269;45,2;3371;67,1;11223;223,4;134196;2670,7;26637;530,1;95079;1892,2;12480;248,4;
Colorado;2010;5029196;16133;320,8;120;2,4;2198;43,7;3132;62,3;10683;212,4;134992;2684,2;26153;520,0;97592;1940,5;11247;223,6;
Colorado;2011;5116302;16085;314,4;155;3,0;2285;44,7;3299;64,5;10346;202,2;132781;2595,3;25725;502,8;96054;1877,4;11002;215,0;
Colorado;2012;5187582;16023;308,9;162;3,1;2113;40,7;3395;65,4;10353;199,6;139270;2684,7;26157;504,2;101021;1947,4;12092;233,1;
Colorado;2013;5272086;16099;305,4;174;3,3;2198;41,7;3136;59,5;9826;186,4;139974;2655,0;25075;475,6;102375;1941,8;12524;237,6;
Colorado;2014;5355866;16554;309,1;151;2,8;2121;39,6;3039;56,7;10325;192,8;135510;2530,1;23472;438,2;99464;1857,1;12574;234,8;
Colorado;2015;5456574;17515;321,0;176;3,2;2377;43,6;3323;60,9;10759;197,2;144136;2641,5;23454;429,8;104682;1918,5;16000;293,2;
Idaho;2009;1545801;3805;246,2;24;1,6;575;37,2;254;16,4;2952;191,0;31220;2019,7;6682;432,3;23066;1492,2;1472;95,2;
Idaho;2010;1567582;3465;221,0;21;1,3;525;33,5;214;13,7;2705;172,6;31286;1995,8;6502;414,8;23462;1496,7;1322;84,3;
Idaho;2011;1583744;3202;202,2;35;2,2;444;28,0;188;11,9;2535;160,1;32875;2075,8;6915;436,6;24629;1555,1;1331;84,0;
Idaho;2012;1595728;3318;207,9;29;1,8;479;30,0;243;15,2;2567;160,9;31651;1983,5;7186;450,3;23101;1447,7;1364;85,5;
Idaho;2013;1612843;3471;215,2;29;1,8;516;32,0;220;13,6;2548;158,0;30230;1874,3;6693;415,0;21999;1364,0;1538;95,4;
Idaho;2014;1634464;3468;212,2;32;2,0;468;28,6;204;12,5;2623;160,5;30316;1854,8;6428;393,3;22227;1359,9;1661;101,6;
Idaho;2015;1654930;3568;215,6;32;1,9;533;32,2;192;11,6;2650;160,1;28858;1743,8;6124;370,0;20863;1260,7;1871;113,1;
Montana;2009;974989;2798;287,0;32;3,3;357;36,6;228;23,4;2181;223,7;24826;2546,3;3686;378,1;19528;2002,9;1612;165,3;
Montana;2010;989415;2693;272,2;26;2,6;321;32,4;157;15,9;2189;221,2;25169;2543,8;3654;369,3;19989;2020,3;1526;154,2;
Montana;2011;997667;2755;276,1;29;2,9;366;36,7;171;17,1;2189;219,4;23885;2394,1;3347;335,5;19089;1913,4;1449;145,2;
Montana;2012;1005141;2736;272,2;27;2,7;379;37,7;191;19,0;2139;212,8;25970;2583,7;3894;387,4;20387;2028,3;1689;168,0;
Montana;2013;1014864;2924;288,1;23;2,3;382;37,6;217;21,4;2217;218,5;26195;2581,1;4122;406,2;20192;1989,6;1881;185,3;
Montana;2014;1023579;3313;323,7;37;3,6;430;42,0;203;19,8;2532;247,4;25312;2472,9;3595;351,2;19674;1922,1;2043;199,6;
Montana;2015;1032949;3611;349,6;36;3,5;431;41,7;210;20,3;2818;272,8;27100;2623,6;3838;371,6;20844;2017,9;2418;234,1;
Nevada;2009;2643085;18639;705,2;156;5,9;1024;38,7;6028;228,1;11431;432,5;80976;3063,7;22115;836,7;46463;1757,9;12398;469,1;
Nevada;2010;2700551;17841;660,6;158;5,9;965;35,7;5298;196,2;11420;422,9;74932;2774,7;22226;823,0;42521;1574,5;10185;377,1;
Nevada;2011;2720028;15452;568,1;139;5,1;913;33,6;4308;158,4;10092;371,0;70075;2576,3;20342;747,9;40156;1476,3;9577;352,1;
Nevada;2012;2758931;16763;607,6;124;4,5;931;33,7;4918;178,3;10790;391,1;77510;2809,4;22120;801,8;45372;1644,6;10018;363,1;
Nevada;2013;2791494;16888;605,0;163;5,8;1090;39,0;5183;185,7;10060;360,4;79177;2836,4;23047;825,6;46132;1652,6;9998;358,2;
Nevada;2014;2839099;18045;635,6;170;6,0;995;35,0;5954;209,7;10564;372,1;74538;2625,4;21927;772,3;42426;1494,3;10185;358,7;
Nevada;2015;2890845;20118;695,9;178;6,2;1238;42,8;6287;217,5;11965;413,9;77137;2668,3;22360;773,5;43426;1502,2;11351;392,7;
New Mexico;2009;2009671;12709;632,4;198;9,9;1069;53,2;1932;96,1;9510;473,2;74639;3714,0;21955;1092,5;46182;2298,0;6502;323,5;
New Mexico;2010;2059179;12126;588,9;142;6,9;958;46,5;1614;78,4;9412;457,1;70742;3435,4;21014;1020,5;44481;2160,1;5247;254,8;
New Mexico;2011;2078674;11904;572,7;158;7,6;856;41,2;1720;82,7;9170;441,1;73549;3538,3;21419;1030,4;46730;2248,1;5400;259,8;
New Mexico;2012;2085538;11660;559,1;116;5,6;957;45,9;1847;88,6;8740;419,1;75094;3600,7;21384;1025,3;48247;2313,4;5463;261,9;
New Mexico;2013;2086895;12990;622,5;123;5,9;1135;54,4;1832;87,8;9470;453,8;78958;3783,5;21828;1046,0;51146;2450,8;5984;286,7;
New Mexico;2014;2085572;12459;597,4;101;4,8;1071;51,4;2086;100,0;8797;421,8;73877;3542,3;18505;887,3;49082;2353,4;6290;301,6;
New Mexico;2015;2085109;13681;656,1;117;5,6;1215;58,3;2485;119,2;9407;451,2;77094;3697,4;17085;819,4;51483;2469,1;8526;408,9;
Utah;2009;2784572;5998;215,4;39;1,4;941;33,8;1304;46,8;3714;133,4;91751;3295,0;15258;547,9;69556;2497,9;6937;249,1;
Utah;2010;2763885;5879;212,7;53;1,9;948;34,3;1268;45,9;3610;130,6;87880;3179,6;15017;543,3;66914;2421,0;5949;215,2;
Utah;2011;2814347;5547;197,1;50;1,8;901;32,0;1079;38,3;3517;125,0;84084;2987,7;13170;468,0;64727;2299,9;6187;219,8;
Utah;2012;2855287;5876;205,8;50;1,8;943;33,0;1100;38,5;3783;132,5;85424;2991,8;12943;453,3;66482;2328,4;5999;210,1;
Utah;2013;2902787;6644;228,9;51;1,8;926;31,9;1247;43,0;3824;131,7;88334;3043,1;13727;472,9;67115;2312,1;7492;258,1;
Utah;2014;2942902;6346;215,6;67;2,3;945;32,1;1312;44,6;3513;119,4;84711;2878,5;11518;391,4;65895;2239,1;7298;248,0;
Utah;2015;2995919;7071;236,0;54;1,8;1098;36,6;1326;44,3;4046;135,1;89278;2980,0;12468;416,2;68103;2273,2;8707;290,6;
Wyoming;2009;544270;1196;219,7;11;2,0;172;31,6;78;14,3;935;171,8;14243;2616,9;2176;399,8;11310;2078,0;757;139,1;
Wyoming;2010;563626;1104;195,9;8;1,4;164;29,1;76;13,5;856;151,9;13874;2461,6;2149;381,3;11134;1975,4;591;104,9;
Wyoming;2011;567356;1245;219,4;18;3,2;146;25,7;71;12,5;1010;178,0;12878;2269,8;1864;328,5;10493;1849,5;521;91,8;
Wyoming;2012;576412;1161;201,4;14;2,4;154;26,7;61;10,6;932;161,7;13222;2293,8;2125;368,7;10513;1823,9;584;101,3;
Wyoming;2013;583223;1212;207,8;17;2,9;144;24,7;74;12,7;917;157,2;12809;2196,2;1956;335,4;10275;1761,8;578;99,1;
Wyoming;2014;584153;1142;195,5;16;2,7;126;21,6;53;9,1;899;153,9;11477;1964,7;1689;289,1;9185;1572,4;603;103,2;
Wyoming;2015;586107;1302;222,1;16;2,7;125;21,3;59;10,1;1054;179,8;11151;1902,6;1762;300,6;8797;1500,9;592;101,0;
Alaska;2009;698473;4424;633,4;22;3,1;513;73,4;654;93,6;3235;463,2;20538;2940,4;3600;515,4;15251;2183,5;1687;241,5;
Alaska;2010;710231;4537;638,8;31;4,4;533;75,0;594;83,6;3379;475,8;20259;2852,5;3105;437,2;15535;2187,3;1619;228,0;
Alaska;2011;723860;4416;610,1;30;4,1;436;60,2;576;79,6;3374;466,1;19094;2637,8;2852;394,0;14854;2052,1;1388;191,7;
Alaska;2012;731449;4412;603,2;30;4,1;583;79,7;630;86,1;3169;433,2;20037;2739,4;2950;403,3;15565;2128,0;1522;208,1;
Alaska;2013;737259;4709;638,7;34;4,6;657;89,1;623;84,5;3127;424,1;21211;2877,0;2917;395,7;16599;2251,4;1695;229,9;
Alaska;2014;736732;4684;635,8;41;5,6;555;75,3;629;85,4;3243;440,2;20334;2760,0;3150;427,6;15445;2096,4;1739;236,0;
Alaska;2015;738432;5392;730,2;59;8,0;650;88,0;761;103,1;3671;497,1;20806;2817,6;3511;475,5;15249;2065,1;2046;277,1;
California;2009;36961664;174934;473,3;1972;5,3;8713;23,6;64093;173,4;100156;271,0;1009433;2731,0;230198;622,8;615402;1665,0;163833;443,3;
California;2010;37253956;164133;440,6;1809;4,9;8331;22,4;58116;156,0;95877;257,4;981939;2635,8;228857;614,3;600558;1612,1;152524;409,4;
California;2011;37683933;154943;411,2;1792;4,8;7665;20,3;54291;144,1;91195;242,0;973822;2584,2;230075;610,5;596905;1584,0;146842;389,7;
California;2012;38041430;160944;423,1;1884;5,0;7837;20,6;56521;148,6;94702;248,9;1049465;2758,7;245767;646,1;635090;1669,5;168608;443,2;
California;2013;38431393;154739;402,6;1746;4,5;7464;19,4;53640;139,6;89029;231,7;1018907;2651,2;232058;603,8;621557;1617,3;165292;430,1;
California;2014;38802500;153709;396,1;1699;4,4;8398;21,6;48680;125,5;91803;236,6;947192;2441,1;202670;522,3;592670;1527,4;151852;391,3;
California;2015;39144818;166883;426,3;1861;4,8;9387;24,0;52862;135,0;99349;253,8;1024914;2618,3;197404;504,3;656517;1677,1;170993;436,8;
Hawaii;2009;1295178;3550;274,1;23;1,8;385;29,7;1030;79,5;2112;163,1;47516;3668,7;9244;713,7;33415;2580,0;4857;375,0;
Hawaii;2010;1360301;3574;262,7;24;1,8;365;26,8;1054;77,5;2131;156,7;45083;3314,2;8663;636,8;31320;2302,4;5100;374,9;
Hawaii;2011;1378129;3465;251,4;20;1,5;353;25,6;994;72,1;2098;152,2;43874;3183,6;8165;592,5;31240;2266,8;4469;324,3;
Hawaii;2012;1392313;3330;239,2;29;2,1;285;20,5;1040;74,7;1976;141,9;42817;3075,2;7979;573,1;31233;2243,2;3605;258,9;
Hawaii;2013;1408987;3585;254,4;32;2,3;366;26,0;934;66,3;2111;149,8;45266;3212,7;7777;552,0;32928;2337,0;4561;323,7;
Hawaii;2014;1419561;3680;259,2;26;1,8;314;22,1;1107;78,0;2102;148,1;43297;3050,0;7778;547,9;31640;2228,9;3879;273,3;
Hawaii;2015;1431603;4201;293,4;19;1,3;400;27,9;1203;84,0;2418;168,9;54346;3796,2;6557;458,0;42010;2934,5;5779;403,7;
Oregon;2009;3825657;9968;260,6;88;2,3;1202;31,4;2499;65,3;6179;161,5;114780;3000,3;19739;516,0;85064;2223,5;9977;260,8;
Oregon;2010;3831074;9655;252,0;91;2,4;1214;31,7;2390;62,4;5960;155,6;115428;3012,9;19637;512,6;86879;2267,7;8912;232,6;
Oregon;2011;3868229;9643;249,3;84;2,2;1239;32,0;2237;57,8;6083;157,3;121869;3150,5;20704;535,2;92059;2379,9;9106;235,4;
Oregon;2012;3899353;9653;247,6;92;2,4;1140;29,2;2413;61,9;6008;154,1;125723;3224,2;21901;561,7;93619;2400,9;10203;261,7;
Oregon;2013;3928068;9536;242,8;82;2,1;1000;25,5;2394;60,9;5596;142,5;125083;3184,3;20808;529,7;94363;2402,3;9912;252,3;
Oregon;2014;3970239;9224;232,3;81;2,0;1052;26,5;2093;52,7;5592;140,8;114305;2879,0;17230;434,0;87526;2204,6;9549;240,5;
Oregon;2015;4028977;10468;259,8;99;2,5;1164;28,9;2146;53,3;6630;164,6;118719;2946,6;18336;455,1;89836;2229,7;10547;261,8;
Washington;2009;6664195;22412;336,3;190;2,9;2583;38,8;6711;100,7;12928;194,0;245215;3679,6;53047;796,0;168421;2527,3;23747;356,3;
